,prepost,synapse_id,synapse_x,synapse_y,synapse_z,synapse_size,segment_id
904,postsyn,496019552,1540208,605016,1079520,7268,864691135510518224
905,postsyn,477536506,1488040,612836,1104840,5408,864691135510518224
906,postsyn,477550853,1478232,613552,1109640,8632,864691135510518224
907,postsyn,471556835,1467984,628216,1098840,20884,864691135510518224
908,postsyn,473337896,1468080,646784,1099000,12192,864691135510518224
909,postsyn,477363308,1487028,602196,1106160,8876,864691135510518224
910,postsyn,480860712,1487720,621128,1089160,2072,864691135510518224
911,postsyn,490058773,1507448,608016,1098520,1168,864691135510518224
912,postsyn,490059396,1510104,606480,1097120,3016,864691135510518224
913,postsyn,496019253,1537956,604560,1083000,4548,864691135510518224
914,postsyn,490244102,1518816,606088,1089520,5636,864691135510518224
915,postsyn,488969037,1514448,611336,1066080,10576,864691135510518224
916,postsyn,488904165,1518672,615056,1063320,2200,864691135510518224
917,postsyn,471802279,1462228,637812,1109920,3140,864691135510518224
918,postsyn,488969199,1515240,611608,1067240,1696,864691135510518224
919,postsyn,490060397,1514416,607528,1095880,216,864691135510518224
920,postsyn,471730718,1461736,633208,1109360,896,864691135510518224
921,postsyn,488969008,1514600,614272,1065680,49876,864691135510518224
922,postsyn,496860895,1543064,502728,1107040,24688,864691135510518224
923,postsyn,473336146,1462016,637736,1098680,6920,864691135510518224
924,postsyn,497928789,1557136,590536,1068720,2940,864691135510518224
925,postsyn,488162562,1519216,567816,1109440,8944,864691135510518224
926,postsyn,478881379,1487992,598204,1101360,4800,864691135510518224
927,postsyn,487457658,1512992,554104,1103640,19952,864691135510518224
928,postsyn,490058722,1507352,605868,1099440,12348,864691135510518224
929,postsyn,481443569,1484032,584856,1080520,5352,864691135510518224
930,postsyn,483597598,1497432,572488,1107920,3340,864691135510518224
931,postsyn,492120868,1533560,626816,1067040,19580,864691135510518224
932,postsyn,492053338,1526832,623968,1061240,10012,864691135510518224
933,postsyn,496861237,1545080,501744,1109800,6076,864691135510518224
934,postsyn,493734522,1524912,526640,1107560,2852,864691135510518224
935,postsyn,484880037,1498072,544136,1107680,23712,864691135510518224
936,postsyn,475476743,1457740,614524,1101400,18964,864691135510518224
937,postsyn,469345521,1453616,631984,1094120,5784,864691135510518224
938,postsyn,469345561,1454016,633328,1091360,4244,864691135510518224
939,postsyn,469701500,1452952,629640,1096400,2028,864691135510518224
940,postsyn,478359945,1482768,584048,1095240,13620,864691135510518224
941,postsyn,469701265,1452112,627632,1097520,6336,864691135510518224
942,postsyn,472898370,1471784,618392,1108360,1584,864691135510518224
943,postsyn,477531448,1473632,618376,1105000,796,864691135510518224
944,postsyn,478344979,1476512,582488,1109800,6632,864691135510518224
945,postsyn,480859821,1484144,625064,1089000,13968,864691135510518224
946,postsyn,485975043,1492720,640732,1071960,1976,864691135510518224
947,postsyn,483711855,1499192,605824,1078920,1448,864691135510518224
948,postsyn,488340118,1520704,620320,1055600,16884,864691135510518224
949,postsyn,487803674,1512304,535608,1108200,5840,864691135510518224
950,postsyn,490243797,1517088,605960,1092880,2268,864691135510518224
951,postsyn,478881133,1486208,592524,1095000,3520,864691135510518224
952,postsyn,479461722,1484648,632208,1081480,9148,864691135510518224
953,postsyn,477549954,1473284,602216,1113400,1004,864691135510518224
954,postsyn,478702466,1482216,588992,1092840,1108,864691135510518224
955,postsyn,478881065,1485776,587100,1098880,4328,864691135510518224
956,postsyn,482468881,1489376,594488,1092360,6112,864691135510518224
957,postsyn,483706647,1489104,585288,1097760,1244,864691135510518224
958,postsyn,486006539,1490648,614456,1095560,2712,864691135510518224
959,postsyn,475479307,1469568,610608,1104920,440,864691135510518224
960,postsyn,483712349,1501720,609480,1075880,17880,864691135510518224
961,postsyn,492052366,1524840,622592,1056880,8680,864691135510518224
962,postsyn,486032429,1492720,571480,1029520,2244,864691135510518224
963,postsyn,477362400,1476856,585624,1113440,18312,864691135510518224
964,postsyn,477549634,1472040,618048,1107880,1048,864691135510518224
