,segment_id,split_index,nucleus_id,cell_type,syn_density_post,syn_density_head,syn_density_neck,syn_density_shaft,skeletal_length_processed_syn,spine_density,skeletal_length_processed_spine,allen_e_i,allen_e_i_n_nuc,allen_cell_type,allen_cell_type_n_nuc,allen_cell_type_e_i,cell_type_manual
28,864691135975684931,0,404260,excitatory,0.9562633867157017,0.1056827609374091,0.00602180974002331,0.7364673312048508,3321260.694616795,0.20935982445443996,2932749.8797822893,excitatory,1,5P_IT,1,excitatory,inhibitory
29,864691135996750538,0,527950,excitatory,1.3818725752756664,0.20243702078277784,0.022391453766040893,0.9847669972615942,2188334.911702513,0.2917539482184576,2046244.8019828757,excitatory,1,MC,1,inhibitory,inhibitory
30,864691136020235256,0,295288,inhibitory,1.225442192421424,0.11124072610560512,0.007176821039071298,0.9814302770929999,557349.8319414151,0.2980253284087,473114.1502397348,inhibitory,1,BPC,1,inhibitory,inhibitory
31,864691136020323832,0,550821,inhibitory,1.309884972290687,0.10029747107891936,0.0065193356201297585,0.9989628119460369,1994068.2237404513,0.27451809962272755,1755804.0823625708,inhibitory,1,NGC,1,inhibitory,inhibitory
32,864691136051191947,0,617541,inhibitory,2.1570218003588266,0.30079730037340147,0.03749067801755438,1.4839333485087804,1146951.783050335,0.4279560962326434,976735.7064888472,inhibitory,1,MC,1,inhibitory,inhibitory
33,864691136065289880,0,187118,inhibitory,1.3121257619082514,0.09446866096618638,0.008787782415459197,0.9633606472947146,1820709.6220149111,0.32956629939000365,1647619.9204986738,inhibitory,1,NGC,1,inhibitory,inhibitory
34,864691136138596177,0,151977,inhibitory,0.82778233062013,0.06708122614425689,0.0026832490457702756,0.6681290123967986,745365.0279509793,0.20342812750401312,570225.9634558727,inhibitory,1,NGC,1,inhibitory,inhibitory
35,864691136296983323,0,191939,inhibitory,2.400980708294911,0.2650615384741461,0.07853675214048775,1.4964056166767934,1426083.9281926593,0.5424600121865557,1288574.2438091624,inhibitory,1,MC,1,inhibitory,inhibitory
36,864691136333830067,1,580156,excitatory,1.6684232314963454,0.18870008273285716,0.015725006894404765,1.0826667246797679,1271859.537760607,0.4714791135175042,1194114.4026501991,excitatory,2,23P,2,excitatory,inhibitory
37,864691136482877484,0,619549,excitatory,1.45881758301481,0.17862380721394164,0.04541857716635329,0.966670015510743,2950334.6066787196,0.3942404606285679,2729298.759149303,excitatory,1,5P_IT,1,excitatory,inhibitory
38,864691136557212066,0,563883,inhibitory,0.5515784086678441,0.035347051524168845,0.0032880978162017527,0.4997908680626664,1216508.8216933282,0.08540328871275375,948441.2277428353,inhibitory,1,BPC,1,inhibitory,inhibitory
39,864691136723391229,0,555568,excitatory,2.167003344343197,0.20106216596998733,0.03780656112256172,1.3923984613434381,2327638.3089887663,0.5006221615170008,2069424.9668466148,excitatory,2,6IT,2,excitatory,inhibitory
40,864691136965901006,0,495714,inhibitory,2.1528936948474775,0.2933680549401815,0.02852189423029542,1.4541072862052398,1963403.9572490193,0.4788863111923368,1528546.5107103558,inhibitory,1,MC,1,inhibitory,inhibitory
41,864691137053666678,0,452048,inhibitory,1.9328920732801944,0.20341932639339322,0.018789736976096563,1.4541622529326905,1224072.4832529342,0.4824134408204867,1061330.2961235752,inhibitory,1,NGC,1,inhibitory,inhibitory
0,864691134884742394,0,366629,excitatory,0.24230299744760803,0.0643994677601616,0.0016099866940040399,0.17146358291143027,1242246.2915056746,0.08002287703959766,1037203.3982098541,excitatory,1,5P_NP,1,excitatory,excitatory
1,864691134884765178,0,268075,excitatory,1.1554621815188297,0.12499886893718233,0.0055969642807693586,0.8022315469102747,1608014.5501237432,0.3609062562356703,1388172.1121311043,excitatory,1,6CT,1,excitatory,excitatory
2,864691134940060771,0,273550,excitatory,0.4330701857943088,0.06701086015754894,0.0010001620919037153,0.3230523556849001,1999675.8687316235,0.19405756817518,1870578.9390925067,excitatory,1,6IT,1,excitatory,excitatory
3,864691134964424991,0,334210,excitatory,1.0871330183369803,0.116281949429715,0.00550447097892142,0.802964704050162,1453364.007301492,0.32456090525105813,1408056.2156631157,excitatory,1,4P,1,excitatory,excitatory
4,864691134988419194,1,434504,excitatory,0.36015769797891584,0.08409773658390929,0.004875231106313581,0.23035466977331673,1640947.8495572738,0.1572006894673942,1609407.6995284173,excitatory,2,6CT,2,excitatory,excitatory
5,864691134988468602,0,129302,excitatory,0.8224135862312594,0.0917714731416856,0.0007059344087821969,0.6120451324141647,1416562.2011896174,0.24115422872383124,1318658.1951427117,excitatory,1,5P_NP,1,excitatory,excitatory
6,864691135012575478,1,222413,excitatory,0.5584282872812552,0.017583518274871226,0.0,0.4838499166671461,1649271.7524822196,0.14436059048094727,1142971.2184626781,excitatory,2,23P,2,excitatory,excitatory
7,864691135012766710,1,403949,excitatory,0.34915577216566906,0.09874635505091317,0.0033072941883080967,0.2319830637798965,2116533.8193216403,0.12725172467114151,1917459.2771184258,excitatory,2,5P_NP,2,excitatory,excitatory
8,864691135012884630,0,340062,excitatory,0.29730498508595316,0.051188874842622786,0.002866576991186876,0.22768811529998614,2441936.854136865,0.09834636047401302,2175982.9135369705,excitatory,1,6CT,1,excitatory,excitatory
9,864691135058561435,0,303915,excitatory,1.0134080332141309,0.04825752539114909,0.0,0.78659766387573,207221.56635561964,0.25297637896406583,193693.97332926578,excitatory,1,5P_IT,1,excitatory,excitatory
10,864691135058726811,0,234468,excitatory,1.2675493571812404,0.1400520084284673,0.04307779472729542,0.8247725721075329,5083825.701533297,0.42684771665923477,4615229.09251664,excitatory,2,5P_PT,2,excitatory,excitatory
11,864691135065026116,0,229301,excitatory,1.2610624610215233,0.1533565200493901,0.016515317543780477,0.87924404828317,2543093.700055246,0.38569757909831864,2431957.18830502,excitatory,1,5P_IT,1,excitatory,excitatory
12,864691135082148128,0,675615,excitatory,0.5969447088766185,0.11419127016769089,0.0,0.4323517746349124,1269799.344442585,0.19329321716607453,1132993.7139586154,excitatory,1,6CT,1,excitatory,excitatory
13,864691135099845152,0,263959,inhibitory,1.234770188751734,0.2803867191437071,0.016538236610109766,0.8411601574311214,3930286.0112828305,0.42296093421922826,3489683.988722615,inhibitory,1,5P_PT,1,excitatory,excitatory
14,864691135104027725,0,403222,excitatory,0.6284561034261141,0.06172012569753865,0.0036305956292669796,0.4781494443744612,2754368.98546011,0.18048307411435058,2476686.538022892,excitatory,1,6CT,1,excitatory,excitatory
15,864691135134692889,0,560728,excitatory,1.2882054075544278,0.19043438389394485,0.009244387567667225,0.8731324057661695,4326949.698636856,0.4307711720971343,3997481.984731577,excitatory,1,5P_PT,1,excitatory,excitatory
16,864691135155536996,0,671274,excitatory,0.6526954757862841,0.06997262569940832,0.0011470922245804642,0.4955438410187605,871769.4868568555,0.18211856855603084,807166.458453542,excitatory,1,6CT,1,excitatory,excitatory
17,864691135162215213,0,301660,excitatory,0.5137634657464439,0.10283398483690688,0.0008129168761810822,0.36499967740530587,2460276.1470466605,0.18742304329577716,2262261.8464842374,excitatory,1,4P,1,excitatory,excitatory
18,864691135162277933,2,433477,excitatory,0.5267130623123333,0.07140837577119699,0.0006103279980444186,0.4028164787093163,1638463.257796051,0.13192130140844785,1485734.2817833112,excitatory,3,5P_IT,3,excitatory,excitatory
19,864691135181746690,0,232089,inhibitory,1.2701556083994099,0.12654819534576628,0.009527065842792063,0.9273609940181935,5563097.90176358,0.4250961560053268,5130603.9097014805,inhibitory,2,BC,2,inhibitory,excitatory
20,864691135207720313,0,463104,excitatory,0.8450260622065557,0.07519697995164011,0.001879924498791003,0.642934178586523,1063872.5125855953,0.22883409073169314,987615.0851359988,excitatory,1,MC,1,inhibitory,excitatory
21,864691135207740793,0,41279,inhibitory,0.7638328732501186,0.08759551298739891,0.005255730779243935,0.6149205011715404,570805.4932812913,0.2134137764909484,393601.5817777477,inhibitory,1,MC,1,inhibitory,excitatory
22,864691135207775097,0,204833,excitatory,0.8588059409249085,0.07680378333474791,0.0011636936868901198,0.6342130593551153,1718665.3348140465,0.2658381243689247,1606240.6436761427,excitatory,1,6CT,1,excitatory,excitatory
23,864691135213057336,1,722117,excitatory,0.5546715684353232,0.06014510983033625,0.0,0.4510883237275219,598552.4027065982,0.14533038006937518,543589.0277193827,excitatory,3,6IT,3,excitatory,excitatory
24,864691135213065528,0,532147,excitatory,0.9750562941835743,0.10353690546485377,0.00251303168604014,0.7126957861609837,1989628.7133086855,0.2630148998398175,1817387.5331439918,excitatory,1,6CT,1,excitatory,excitatory
25,864691135233135193,0,466159,excitatory,0.843687070238067,0.08431665970300237,0.002081892832172898,0.6266497424840423,1921328.4844374766,0.25512745120166436,1630557.5822617952,excitatory,1,5P_IT,1,excitatory,excitatory
26,864691135274059493,0,693032,excitatory,0.7681372917854375,0.22104670267206836,0.011052335133603418,0.475250410744947,180957.23445077398,0.19301050252711807,62172.782531945355,excitatory,1,4P,1,excitatory,excitatory
27,864691135274095333,0,693157,excitatory,0.5786910572825645,0.06091484813500679,0.015228712033751698,0.39975369088598206,262661.7399511344,0.19508070983406584,112773.83611487283,excitatory,1,23P,1,excitatory,excitatory
28,864691135274132453,0,563696,excitatory,0.9920174304416504,0.09561613787389403,0.0013280019149151947,0.7423530704375939,1506021.924770883,0.22264941249872972,1248599.7464807418,excitatory,1,6CT,1,excitatory,excitatory
29,864691135293051148,0,432733,excitatory,0.9645545116741754,0.10970157494736965,0.0018207730281721104,0.7233020854413708,2196869.0979652936,0.24613554592864742,1970458.9931134826,excitatory,1,MC,1,inhibitory,excitatory
30,864691135341044933,0,266617,excitatory,0.9308189754049074,0.09029941554971466,0.0020999864081328993,0.7113703957550195,1904774.2330658254,0.24013508952746668,1819809.0119187513,excitatory,1,4P,1,excitatory,excitatory
31,864691135341046981,0,339455,excitatory,0.9259098432451404,0.09277904996633769,0.0,0.7121418970389164,1595187.7072862645,0.2270667202735557,1285965.6388581153,excitatory,1,5P_IT,1,excitatory,excitatory
